NAME,Year,Income,Population,elevation,risk_score,risk_level,Recommendation,Score,Median Elevation
Hernando,2060,92037.18446,323519.7546,17.5936,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.5936
Highlands,2060,64146.49333,168375.3045,21.5936,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.5936
Hillsborough,2060,138297.83,2427894.219,19.5936,60,Medium Risk,Avoid low elevation areas to live.,59,17.5936
Holmes,2060,79454.42549,32687.11275,38.5936,30,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.5936
IndianRiver,2060,154428.1311,265761.3785,7.5936,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.5936
Jackson,2060,92075.90067,78701.54624,43.5936,30,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.5936
Jefferson,2060,115468.749,24133.21152,22.5936,20,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.5936
Lafayette,2060,98606.6779,13681.58497,21.5936,30,Low Risk,No action recommended at this time.,21,17.5936
Lake,2060,90146.94837,638600.3696,55.5936,55,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.5936
Lee,2060,117578.2413,1265408.563,4.5936,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.5936
Leon,2060,104183.0925,485987.3287,37.5936,45,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.5936
Levy,2060,78908.71346,71376.75895,10.5936,55,Medium Risk,Avoid low elevation areas to live.,45,17.5936
Liberty,2060,81298.88755,13262.45546,26.5936,35,Low Risk,No action recommended at this time.,11,17.5936
Madison,2060,88408.07098,29884.5999,32.5936,30,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.5936
Manatee,2060,109790.963,664802.6173,12.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.5936
Marion,2060,87683.56519,625214.8364,23.5936,60,Medium Risk,Avoid low elevation areas to live.,57,17.5936
Martin,2060,168261.3467,263504.3993,5.5936,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.5936
Miami-Dade,2060,95904.71569,4493612.301,2.5936,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.5936
Monroe,2060,191950.327,137837.0621,0.5936,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.5936
Nassau,2060,166491.7083,150274.5643,12.5936,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.5936
Okaloosa,2060,120711.4487,352048.8364,36.5936,40,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.5936
Okeechobee,2060,74070.45213,65936.39128,11.5936,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.5936
Orange,2060,104788.5618,2378240.677,111.5936,55,Medium Risk,Avoid low elevation areas to live.,52,17.5936
Osceola,2060,84039.84484,646417.4677,18.5936,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.5936
Palm Beach,2060,156367.2814,2481830.533,4.5936,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.5936
Pasco,2060,102359.8277,934544.063,17.5936,65,Medium Risk,Avoid low elevation areas to live.,41,17.5936
Pinellas,2060,104334.1316,1595198.629,3.5936,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.5936
Polk,2060,84903.10361,1205905.478,32.5936,70,Medium Risk,Avoid low elevation areas to live.,60,17.5936
Putnam,2060,74425.46113,121948.3943,16.5936,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,25,17.5936
Sarasota,2060,114750.5341,721844.1488,6.5936,75,High Risk,"Move to higher ground, avoid low areas and swamp areas.",29,17.5936
St. Johns,2060,174265.8848,454763.8429,5.5936,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",24,17.5936
St. Lucie,2060,96711.1616,547572.7564,7.5936,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,14,17.5936
Santa Rosa,2060,117503.8722,312683.926,31.5936,40,Low Risk,"Dialogue with county officials, risk is low at this time.",62,17.5936
Seminole,2060,152277.8576,783133.5247,13.5936,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,23,17.5936
Sumter,2060,146655.0721,215805.1317,26.5936,35,Low Risk,No action recommended at this time.,13,17.5936
Suwannee,2060,77481.91987,72306.49467,26.5936,45,Low Risk,"Dialogue with county officials, risk is low at this time.",66,17.5936
Taylor,2060,71423.5632,36251.37686,7.5936,45,Medium Risk,Avoid low elevation areas to live.,34,17.5936
Union,2060,87349.57816,26855.89017,40.5936,25,Low Risk,No action recommended at this time.,17,17.5936
Volusia,2060,96510.82809,920659.5661,7.5936,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,47,17.5936
Wakulla,2060,133922.7387,56156.70253,9.5936,35,Medium Risk,Avoid low elevation areas to live.,36,17.5936
Walton,2060,187890.7965,125248.2077,30.5936,35,Low Risk,"Dialogue with county officials, risk is low at this time.",63,17.5936
Washington,2060,85474.43067,42109.21084,30.5936,40,Low Risk,"Dialogue with county officials, risk is low at this time.",54,17.5936
Alachua,2070,120064.9931,525968.735,32.492,55,Medium Risk,Avoid low elevation areas to live.,65,17.492
Baker,2070,122352.1129,53375.43446,39.492,30,Low Risk,No action recommended at this time.,9,17.492
Bay,2070,140426.8515,330946.9594,12.492,45,Medium Risk,Avoid low elevation areas to live.,55,17.492
Bradford,2070,134621.4621,53458.54141,44.492,25,Low Risk,No action recommended at this time.,32,17.492
Brevard,2070,105290.0665,1145765.209,8.492,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.492
Broward,2070,126754.0985,3672524.165,4.492,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.492
Calhoun,2070,96429.82882,25778.26284,30.492,35,Low Risk,No action recommended at this time.,33,17.492
Charlotte,2070,120628.2543,352915.5244,9.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.492
Citrus,2070,103105.8129,290577.7616,13.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.492
Clay,2070,132672.0912,412219.8837,28.492,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.492
Collier,2070,240308.2932,709718.1871,4.492,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.492
Columbia,2070,98899.30709,131645.1761,35.492,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.492
DeSoto,2070,75744.51705,64173.67073,17.492,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.492
Dixie,2070,79229.28058,31654.3015,6.492,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.492
Duval,2070,122480.6949,1880421.146,10.492,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.492
Escambia,2070,105278.5244,608012.2874,29.492,60,Medium Risk,Avoid low elevation areas to live.,64,17.492
Flagler,2070,146292.0114,217925.2938,5.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.492
Franklin,2070,129775.1798,23517.37622,3.492,35,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.492
Gadsden,2070,131474.3021,82778.29331,49.492,25,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.492
Gilchrist,2070,99206.20625,33741.41906,18.492,35,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.492
Glades,2070,98114.97441,22903.51811,11.492,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.492
Gulf,2070,130137.032,26805.76687,4.492,35,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.492
Hamilton,2070,99760.57396,26450.67356,36.492,25,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.492
Hardee,2070,76955.54129,47837.48995,7.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.492
Hendry,2070,55278.69792,74832.13624,7.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.492
Hernando,2070,111973.0224,367398.7981,17.492,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.492
Highlands,2070,74664.95055,191212.0778,21.492,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.492
Hillsborough,2070,178767.6674,2757189.956,19.492,60,Medium Risk,Avoid low elevation areas to live.,59,17.492
Holmes,2070,99546.33731,37120.47183,38.492,25,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.492
IndianRiver,2070,207538.4948,301806.6429,7.492,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.492
Jackson,2070,114684.5043,89375.85135,43.492,30,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.492
Jefferson,2070,149258.1548,27406.40341,22.492,15,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.492
Lafayette,2070,119027.7345,15537.22085,21.492,30,Low Risk,No action recommended at this time.,21,17.492
Lake,2070,106384.7225,725213.8545,55.492,55,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.492
Lee,2070,145591.4269,1437036.158,4.492,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.492
Leon,2070,128878.6429,551901.879,37.492,45,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.492
Levy,2070,96189.2814,81057.60182,10.492,55,Medium Risk,Avoid low elevation areas to live.,45,17.492
Liberty,2070,96605.51854,15061.24471,26.492,35,Low Risk,No action recommended at this time.,11,17.492
Madison,2070,109578.6255,33937.85365,32.492,30,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.492
Manatee,2070,135152.4787,754969.9179,12.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.492
Marion,2070,106467.3557,710012.839,23.492,60,Medium Risk,Avoid low elevation areas to live.,57,17.492
Martin,2070,224378.9626,299243.5492,5.492,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.492
Miami-Dade,2070,116792.7488,5103081.759,2.492,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.492
Monroe,2070,263783.8058,156531.9281,0.492,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.492
Nassau,2070,216052.3741,170656.3309,12.492,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.492
Okaloosa,2070,147435.3599,399797.2845,36.492,40,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.492
Okeechobee,2070,87326.49901,74879.35609,11.492,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.492
Orange,2070,125994.213,2700801.895,111.492,60,Medium Risk,Avoid low elevation areas to live.,52,17.492
Osceola,2070,97531.67086,734091.1871,18.492,70,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.492
Palm Beach,2070,204700.4356,2818441.662,4.492,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.492
Pasco,2070,126251.8084,1061296.445,17.492,70,Medium Risk,Avoid low elevation areas to live.,41,17.492
Pinellas,2070,128560.978,1811555.71,3.492,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.492
Polk,2070,100097.8201,1369462.658,32.492,70,Medium Risk,Avoid low elevation areas to live.,60,17.492
Putnam,2070,90103.52389,138488.2774,16.492,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,25,17.492
Sarasota,2070,141673.3081,819748.0027,6.492,75,High Risk,"Move to higher ground, avoid low areas and swamp areas.",29,17.492
St. Johns,2070,225041.531,516443.546,5.492,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",24,17.492
St. Lucie,2070,116968.9926,621840.1495,7.492,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,14,17.492
Santa Rosa,2070,141977.7189,355093.304,31.492,40,Low Risk,"Dialogue with county officials, risk is low at this time.",62,17.492
Seminole,2070,193035.1175,889350.0679,13.492,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,23,17.492
Sumter,2070,199207.1656,245074.8212,26.492,35,Low Risk,No action recommended at this time.,13,17.492
Suwannee,2070,93619.94662,82113.43776,26.492,45,Low Risk,"Dialogue with county officials, risk is low at this time.",66,17.492
Taylor,2070,83957.74557,41168.15774,7.492,45,Medium Risk,Avoid low elevation areas to live.,34,17.492
Union,2070,105026.1705,30498.35947,40.492,25,Low Risk,No action recommended at this time.,17,17.492
Volusia,2070,117185.6167,1045528.791,7.492,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,47,17.492
Wakulla,2070,168610.2854,63773.24637,9.492,35,Medium Risk,Avoid low elevation areas to live.,36,17.492
Walton,2070,265294.7119,142235.645,30.492,35,Low Risk,"Dialogue with county officials, risk is low at this time.",63,17.492
Washington,2070,105942.4838,47820.49081,30.492,40,Low Risk,"Dialogue with county officials, risk is low at this time.",54,17.492
Alachua,2080,149107.8101,597305.9708,32.3904,55,Medium Risk,Avoid low elevation areas to live.,65,17.3904
Baker,2080,147980.8861,60614.7544,39.3904,30,Low Risk,No action recommended at this time.,9,17.3904
Bay,2080,174224.466,375833.356,12.3904,45,Medium Risk,Avoid low elevation areas to live.,55,17.3904
Bradford,2080,170652.9773,60709.13315,44.3904,25,Low Risk,No action recommended at this time.,32,17.3904
Brevard,2080,122434.4094,1301165.554,8.3904,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.3904
Broward,2080,151658.3705,4170629.289,4.3904,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.3904
Calhoun,2080,120460.4726,29274.57334,30.3904,30,Low Risk,No action recommended at this time.,33,17.3904
Charlotte,2080,146901.0705,400781.5215,9.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.3904
Citrus,2080,125932.0702,329988.8765,13.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.3904
Clay,2080,154883.9787,468129.3419,28.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.3904
Collier,2080,319211.3424,805977.3946,4.3904,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.3904
Columbia,2080,119615.4831,149500.2354,35.3904,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.3904
DeSoto,2080,87904.60431,72877.55743,17.3904,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.3904
Dixie,2080,94796.01629,35947.5802,6.3904,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.3904
Duval,2080,146833.4758,2135463.01,10.3904,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.3904
Escambia,2080,125592.6587,690477.1052,29.3904,60,Medium Risk,Avoid low elevation areas to live.,64,17.3904
Flagler,2080,182748.4819,247482.5413,5.3904,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.3904
Franklin,2080,167261.1946,26707.04225,3.3904,35,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.3904
Gadsden,2080,170611.1097,94005.52837,49.3904,25,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.3904
Gilchrist,2080,120813.3035,38317.7739,18.3904,35,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.3904
Glades,2080,117738.6905,26009.92646,11.3904,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.3904
Gulf,2080,165452.23,30441.43793,4.3904,35,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.3904
Hamilton,2080,121250.3866,30038.18326,36.3904,25,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.3904
Hardee,2080,88871.07038,54325.69747,7.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.3904
Hendry,2080,59804.2787,84981.63256,7.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.3904
Hernando,2080,136227.0892,417229.1642,17.3904,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.3904
Highlands,2080,86908.17769,217146.2069,21.3904,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.3904
Hillsborough,2080,231080.1183,3131148.134,19.3904,60,Medium Risk,Avoid low elevation areas to live.,59,17.3904
Holmes,2080,124718.9595,42155.12822,38.3904,25,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.3904
IndianRiver,2080,278914.3825,342740.7331,7.3904,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.3904
Jackson,2080,142844.495,101497.9144,43.3904,30,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.3904
Jefferson,2080,192935.2918,31123.53892,22.3904,15,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.3904
Lafayette,2080,143677.9119,17644.53695,21.3904,30,Low Risk,No action recommended at this time.,21,17.3904
Lake,2080,125547.3357,823574.7422,55.3904,55,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.3904
Lee,2080,180278.7944,1631941.635,4.3904,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.3904
Leon,2080,159428.0242,626756.4318,37.3904,45,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.3904
Levy,2080,117254.1973,92051.45918,10.3904,55,Medium Risk,Avoid low elevation areas to live.,45,17.3904
Liberty,2080,114794.0211,17104.00409,26.3904,35,Low Risk,No action recommended at this time.,11,17.3904
Madison,2080,135818.7666,38540.85095,32.3904,30,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.3904
Manatee,2080,166372.4592,857366.6259,12.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.3904
Marion,2080,129275.0563,806312.0102,23.3904,60,Medium Risk,Avoid low elevation areas to live.,57,17.3904
Martin,2080,299212.6229,339830.0065,5.3904,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.3904
Miami-Dade,2080,142230.1925,5795213.672,2.3904,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.3904
Monroe,2080,362499.4927,177762.3821,0.3904,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.3904
Nassau,2080,280366.0847,193802.4803,12.3904,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.3904
Okaloosa,2080,180075.5899,454021.8633,36.3904,45,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.3904
Okeechobee,2080,102954.9194,85035.25685,11.3904,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.3904
Orange,2080,151491.1688,3067112.15,111.3904,60,Medium Risk,Avoid low elevation areas to live.,52,17.3904
Osceola,2080,113189.4858,833656.1091,18.3904,70,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.3904
Palm Beach,2080,267973.3762,3200707.42,4.3904,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.3904
Pasco,2080,155720.4567,1205240.276,17.3904,65,Medium Risk,Avoid low elevation areas to live.,41,17.3904
Pinellas,2080,158413.4052,2057257.343,3.3904,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.3904
Polk,2080,118011.8649,1555203.129,32.3904,75,Medium Risk,Avoid low elevation areas to live.,60,17.3904
Putnam,2080,109084.2421,157271.4678,16.3904,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,25,17.3904
Sarasota,2080,174912.7041,930930.5743,6.3904,75,High Risk,"Move to higher ground, avoid low areas and swamp areas.",29,17.3904
St. Johns,2080,290611.6177,586488.8787,5.3904,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",24,17.3904
St. Lucie,2080,141470.1778,706180.4428,7.3904,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,14,17.3904
Santa Rosa,2080,171549.0076,403254.6738,31.3904,40,Low Risk,"Dialogue with county officials, risk is low at this time.",62,17.3904
Seminole,2080,244701.0826,1009972.78,13.3904,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,23,17.3904
Sumter,2080,270590.6742,278314.364,26.3904,35,Low Risk,No action recommended at this time.,13,17.3904
Suwannee,2080,113119.2208,93250.49835,26.3904,45,Low Risk,"Dialogue with county officials, risk is low at this time.",66,17.3904
Taylor,2080,98691.56235,46751.8025,7.3904,45,Medium Risk,Avoid low elevation areas to live.,34,17.3904
Union,2080,126279.9057,34634.85754,40.3904,25,Low Risk,No action recommended at this time.,17,17.3904
Volusia,2080,142289.4098,1187334.053,7.3904,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,47,17.3904
Wakulla,2080,212282.3099,72422.82344,9.3904,35,Medium Risk,Avoid low elevation areas to live.,36,17.3904
Walton,2080,374586.1185,161527.0916,30.3904,35,Low Risk,"Dialogue with county officials, risk is low at this time.",63,17.3904
Washington,2080,131311.8997,54306.39272,30.3904,40,Low Risk,"Dialogue with county officials, risk is low at this time.",54,17.3904
Alachua,2090,185175.8656,678318.6888,32.2888,55,Medium Risk,Avoid low elevation areas to live.,65,17.2888
Baker,2090,178978.0505,68835.94463,39.2888,30,Low Risk,No action recommended at this time.,9,17.2888
Bay,2090,216156.4133,426807.7028,12.2888,45,Medium Risk,Avoid low elevation areas to live.,55,17.2888
Bradford,2090,216328.3491,68943.12399,44.2888,25,Low Risk,No action recommended at this time.,32,17.2888
Brevard,2090,142370.3595,1477642.876,8.2888,85,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,42,17.2888
Broward,2090,181455.7604,4736292.503,4.2888,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,44,17.2888
Calhoun,2090,150479.6351,33245.08908,30.2888,30,Low Risk,No action recommended at this time.,33,17.2888
Charlotte,2090,178896.1023,455139.5925,9.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,19,17.2888
Citrus,2090,153811.7575,374745.3282,13.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,26,17.2888
Clay,2090,180814.5682,531621.8102,28.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,18,17.2888
Collier,2090,424021.4925,915292.2561,4.2888,60,High Risk,"Move to higher ground, avoid low areas and swamp areas.",27,17.2888
Columbia,2090,144671.0217,169776.9797,35.2888,35,Low Risk,"Dialogue with county officials, risk is low at this time.",61,17.2888
DeSoto,2090,102016.882,82761.95388,17.2888,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,4,17.2888
Dixie,2090,113421.2584,40823.15708,6.2888,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,28,17.2888
Duval,2090,176028.3091,2425096.248,10.2888,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,53,17.2888
Escambia,2090,149826.5295,784126.6412,29.2888,60,Medium Risk,Avoid low elevation areas to live.,64,17.2888
Flagler,2090,228290.0297,281048.6436,5.2888,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,8,17.2888
Franklin,2090,215575.1761,30329.32328,3.2888,35,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,7,17.2888
Gadsden,2090,221398.0245,106755.5154,49.2888,25,Low Risk,"Dialogue with county officials, risk is low at this time.",51,17.2888
Gilchrist,2090,147126.4235,43514.82058,18.2888,35,Low Risk,"Dialogue with county officials, risk is low at this time.",40,17.2888
Glades,2090,141287.2941,29537.65754,11.2888,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,1,17.2888
Gulf,2090,210350.8891,34570.21572,4.2888,35,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,12,17.2888
Hamilton,2090,147369.4033,34112.26754,36.2888,25,Low Risk,"Dialogue with county officials, risk is low at this time.",38,17.2888
Hardee,2090,102631.5587,61693.90175,7.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,5,17.2888
Hendry,2090,64700.36173,96507.70693,7.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,2,17.2888
Hernando,2090,165734.7408,473818.0321,17.2888,65,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,20,17.2888
Highlands,2090,101158.9949,246597.7867,21.2888,60,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,30,17.2888
Hillsborough,2090,298700.6647,3555826.328,19.2888,60,Medium Risk,Avoid low elevation areas to live.,59,17.2888
Holmes,2090,156257.0685,47872.63597,38.2888,25,Low Risk,"Dialogue with county officials, risk is low at this time.",50,17.2888
IndianRiver,2090,374837.6071,389226.7214,7.2888,45,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,16,17.2888
Jackson,2090,177918.9776,115264.0951,43.2888,30,Low Risk,"Dialogue with county officials, risk is low at this time.",67,17.2888
Jefferson,2090,249393.5883,35344.8302,22.2888,15,Low Risk,"Dialogue with county officials, risk is low at this time.",37,17.2888
Lafayette,2090,173433.0444,20037.66872,21.2888,30,Low Risk,No action recommended at this time.,21,17.2888
Lake,2090,148161.6263,935276.3351,55.2888,55,Low Risk,"Dialogue with county officials, risk is low at this time.",49,17.2888
Lee,2090,223230.4772,1853282.178,4.2888,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,46,17.2888
Leon,2090,197218.828,711763.5213,37.2888,45,Low Risk,"Dialogue with county officials, risk is low at this time.",56,17.2888
Levy,2090,142932.2122,104536.4154,10.2888,50,Medium Risk,Avoid low elevation areas to live.,45,17.2888
Liberty,2090,136406.9825,19423.82329,26.2888,35,Low Risk,No action recommended at this time.,11,17.2888
Madison,2090,168342.4781,43768.15362,32.2888,25,Low Risk,"Dialogue with county officials, risk is low at this time.",48,17.2888
Manatee,2090,204804.1992,973651.4182,12.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,31,17.2888
Marion,2090,156968.6791,915672.2557,23.2888,60,Medium Risk,Avoid low elevation areas to live.,57,17.2888
Martin,2090,399004.4016,385921.2125,5.2888,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,10,17.2888
Miami-Dade,2090,173207.9078,6581219.562,2.2888,80,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,39,17.2888
Monroe,2090,498157.5039,201872.3265,0.2888,50,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,6,17.2888
Nassau,2090,363824.4742,220087.9461,12.2888,40,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,22,17.2888
Okaloosa,2090,219941.9332,515600.9316,36.2888,45,Low Risk,"Dialogue with county officials, risk is low at this time.",58,17.2888
Okeechobee,2090,121380.286,96568.60429,11.2888,55,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,3,17.2888
Orange,2090,182147.8439,3483105.131,111.2888,60,Medium Risk,Avoid low elevation areas to live.,52,17.2888
Osceola,2090,131361.0192,946725.0396,18.2888,70,Medium Risk,Be careful around rivers and swamp areas due to potential flooding.,15,17.2888
Palm Beach,2090,350803.9938,3634819.953,4.2888,70,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,43,17.2888
Pasco,2090,192067.4322,1368707.235,17.2888,65,Medium Risk,Avoid low elevation areas to live.,41,17.2888
Pinellas,2090,195197.698,2336283.532,3.2888,75,High Risk,Avoid at all costs. Move if necessary. Sea level rise will significantly impact all areas of life.,35,17.2888
Polk,2090,139131.9036,1766135.614,32.2888,75,Medium Risk,Avoid low elevation areas to live.,60,17.2888
